sep=;
Percorso;Tipo;Cosa rappresenta;Quando ti serve;Toccare o modificare?;Nota pratica
CASINOKING-PLATFORM;Root progetto;La cartella principale del progetto CasinoKing. Contiene piattaforma casino, gioco Mines, documentazione, test e infrastruttura.;Sempre: e' il punto da cui parti quando apri il progetto.;No, non e' un file: e' il contenitore generale.;Se una AI lavora sul progetto, deve considerare questa come radice del repository.
.claude;Cartella AI/sessione;Cartella usata da Claude per stato locale, configurazioni o memoria di sessione.;Solo quando lavori con Claude e vuoi capire cosa ha salvato localmente.;Con cautela.;Non e' fonte canonica del progetto.
.claude/RESUME.md;File sessione AI;Riassunto/stato di lavoro usato da Claude per riprendere una sessione.;Quando vuoi capire cosa Claude pensa sia lo stato corrente.;Con cautela.;E' utile, ma non normativo: se contrasta con docs/SOURCE_OF_TRUTH.md perde.
.claude/settings.local.json;Config locale AI;Configurazione locale di Claude/ambiente AI.;Quasi mai, salvo problemi specifici di tool o permessi locali.;Di norma no.;Puo' contenere preferenze locali non valide per altri ambienti.
.local;Cartella locale;Area locale generata da strumenti o processi del tuo ambiente.;Quasi mai, salvo debug locale.;Di norma no.;Non dovrebbe contenere logica di prodotto.
.pytest_cache;Cache test;Cache generata da pytest per velocizzare i test Python.;Mai per capire il progetto.;No.;Si puo' rigenerare, non e' documentazione ne' codice sorgente.
.roo;Cartella tool AI;Cartella usata da Roo o strumenti simili.;Solo se usi Roo e devi capire il suo stato/config.;Con cautela.;Non e' fonte canonica.
.tmp;Cartella temporanea;Spazio per file temporanei, output intermedi o appoggi locali.;Solo per debug locale.;No, salvo pulizia consapevole.;Non deve contenere codice o documenti importanti.
.vscode;Config editor;Configurazioni di Visual Studio Code per workspace, estensioni o impostazioni.;Quando vuoi capire come e' configurato VS Code per il progetto.;Con cautela.;Puo' aiutare l'ergonomia, ma non definisce l'architettura.
backend;Sottoprogetto backend;Backend FastAPI della piattaforma: API, auth, wallet, ledger, admin, Mines backend flows.;Quando lavori su API, database access, wallet, ledger, cashout, auth, backend Mines.;Si, ma con molta attenzione nelle aree critiche.;Per wallet/ledger/cashout leggere prima i documenti financial.
docs;Documentazione;Documenti canonici, runtime, atlas, procedure, piani e archivio storico.;Sempre per orientarsi e prima di modifiche importanti.;Si, se il task cambia comportamento, architettura o mapping.;La guida principale e' docs/README.md.
frontend;Sottoprogetto frontend;Frontend Next.js: sito player, lobby, Mines UI, admin shell e componenti interfaccia.;Quando lavori su UI, pagine, componenti, esperienza player/admin.;Si, ma senza aggiungere UI/testi non richiesti.;Per Mines UI leggere anche docs/ARCHITECTURE_ATLAS_MINES.md.
games;Area giochi separabili;Spazio dedicato ai giochi proprietari come moduli separabili, con Mines come primo gioco.;Quando lavori sul prodotto gioco come entita' separabile dalla piattaforma.;Si, rispettando separazione piattaforma/gioco.;Serve per il futuro riuso di Mines e altri giochi.
infra;Infrastruttura locale;Docker, ambiente locale, configurazioni per avviare backend/frontend/database/redis.;Quando devi avviare, riavviare o diagnosticare l'ambiente locale.;Solo per task infra.;Per riavvio seguire docs/LOCAL_ENV_RESTART_PROCEDURE.md.
plans;Piani operativi;Cartella per piani, analisi o materiale operativo di pianificazione.;Quando lavori su roadmap, milestone o analisi non ancora trasformate in codice.;Con cautela.;Se un piano diventa superato, va archiviato o sostituito in modo ordinato.
tests;Test;Test automatici: unit, integration, contract, concurrency.;Quando verifichi modifiche o cerchi regressioni.;Si, quando aggiungi/modifichi comportamento.;Aree finanziarie e concorrenza richiedono test seri.
.dockerignore;Config Docker;Dice a Docker quali file ignorare durante build/copia context.;Quando cambi build Docker o vuoi ridurre il contesto di build.;Raramente.;Errore qui puo' rompere build o includere file inutili.
.gitignore;Config Git;Dice a Git quali file non tracciare.;Quando compaiono file generati o locali da non committare.;Con cautela.;Protegge da commit sporchi di cache, env, build output.
.rooignore;Config Roo;Dice a Roo quali file/cartelle ignorare.;Solo se usi Roo.;Raramente.;Non impatta il runtime del progetto.
AGENTS.md;Entry point AI;Regole principali per Codex/ChatGPT-style agents: documenti da leggere, vincoli, workflow.;Sempre per AI che lavorano nel repo.;Si, se cambiano regole generali per agenti.;Punta alla guida condivisa e contiene vincoli non negoziabili.
ANTIGRAVITY.md;Entry point AI;Puntatore per Antigravity/Gemini-style agents verso la guida condivisa.;Quando usi Antigravity.;Solo se cambiano regole comuni AI.;Non e' fonte autonoma: rimanda ai documenti centrali.
CLAUDE.md;Entry point AI;Puntatore per Claude verso la guida condivisa.;Quando usi Claude.;Solo se cambiano regole comuni AI.;Distingue file letti davvero da file solo individuati.
GEMINI.md;Entry point AI;Puntatore per Gemini verso la guida condivisa.;Quando usi Gemini.;Solo se cambiano regole comuni AI.;Non deve duplicare tutta la documentazione.
kill_all.py;Script locale;Script Python per terminare processi/servizi locali legati allo sviluppo.;Solo per pulizia ambiente locale se sai cosa sta facendo.;Con molta cautela.;Prima di usarlo capire impatto su processi aperti.
prova.txt;File temporaneo/vuoto;File vuoto probabilmente creato per prova locale.;Mai per il progetto.;Si puo' valutare rimozione se non serve.;Non contiene informazione utile.
pytest.ini;Config test Python;Configurazione pytest per esecuzione dei test.;Quando i test Python non vengono scoperti o hanno opzioni comuni.;Raramente.;Toccarlo puo' cambiare il comportamento di tutti i test.
README.md;README root;Introduzione generale: bootstrap locale, struttura, scope MVP, note architetturali.;Quando una persona apre il repository per la prima volta.;Si, se cambia bootstrap, struttura o scope generale.;Per documentazione dettagliata rimanda a docs/README.md.
setup_roo.ps1;Script setup locale;Script PowerShell per configurare Roo o strumenti collegati.;Solo se devi preparare Roo nel workspace.;Con cautela.;Non e' parte runtime della piattaforma casino.
.git;Metadata Git;Database interno Git con storia, branch, commit e stato repository.;Mai per lavoro ordinario.;No.;Non modificare manualmente: usare comandi git.
